Flow1,Flow2,Pressure,Leak
0,0,3.31,0
0.47,0,3.3,0
0.47,0,3.25,0
0.47,0,3.33,0
1.47,1.13,3.25,0
1.47,1.13,3.23,0
1.47,1.13,3.24,0
1.13,1.27,3.37,0
1.13,1.27,3.31,0
1.13,1.27,3.33,0
1.13,1.27,3.24,0
1.13,1.27,3.39,0
1.13,1.27,3.23,0
1.13,1.2,3.36,0
1.13,1.2,3.22,0
1.13,1.2,3.25,0
1.07,1.2,3.46,0
1.07,1.2,3.25,0
1.07,1.2,3.24,0
1.07,1.13,3.27,0
1.07,1.13,3.13,0
1.07,1.13,3.36,0
1,1.13,3.26,0
1,1.13,3.24,0
1,1.13,3.36,0
1,1.13,3.31,0
1,1.13,3.26,0
1,1.13,3.24,0
1.07,1.07,3.31,0
1.07,1.07,3.1,0
1.07,1.07,3.4,0
1,1.07,3.32,0
1,1.07,3.24,0
1,1.07,3.26,0
0.93,1.07,3.27,0
0.93,1.07,3.24,0
0.93,1.07,3.22,0
1.07,1.07,3.1,0
1.07,1.07,3.38,0
1.07,1.07,3.31,0
0.93,1,3.29,0
0.93,1,3.18,0
0.93,1,3.29,0
1.07,1.07,3.19,0
1.07,1.07,3.25,0
1.07,1.07,3.25,0
1,1,3.25,0
1,1,3.26,0
1,1,3.3,0
0.93,1,3.14,0
0.93,1,3.32,0
0.93,1,3.26,0
0.93,1.07,3.24,0
0.93,1.07,3.24,0
0.93,1.07,3.06,0
0.93,0.93,3.24,0
0.93,0.93,3.1,0
0.93,0.93,3.24,0
0.93,1,3.28,0
0.93,1,3.12,0
0.93,1,3.48,0
0.93,0.93,3.33,0
0.93,0.93,3.22,0
0.93,0.93,3.23,0
0.93,1,3.36,0
0.93,1,3.23,0
0.93,1,3.26,0
0.87,0.93,3.43,0
0.87,0.93,3.26,0
0.87,0.93,3.24,0
0.87,0.93,3.24,0
0.87,0.93,3.22,0
0.87,0.93,3.24,0
0.87,0.93,3.25,0
0.87,0.93,3.24,0
0.87,0.93,3.23,0
0.87,0.87,3.22,0
0.87,0.87,3.39,0
0.87,0.87,3.41,0
0.8,0.87,3.27,0
0.8,0.87,3.25,0
0.8,0.87,3.21,0
0.87,0.93,3.24,0
0.87,0.93,3.16,0
0.87,0.93,3.12,0
0.8,0.87,3.3,0
0.8,0.87,3.22,0
0.8,0.87,3.18,0
0.8,0.8,3.23,0
0.8,0.8,3.24,0
0.8,0.8,3.25,0
0.87,0.87,3.22,0
0.87,0.87,3.29,0
0.87,0.87,3.18,0
0.73,0.87,3.25,0
0.73,0.87,3.23,0
0.73,0.87,3.24,0
0.8,0.8,3.28,0
0.8,0.8,3.26,0
0.8,0.8,3.26,0
0.8,0.73,3.01,0
0.8,0.73,3.22,0
0.8,0.73,3.31,0
0.73,0.8,3.22,0
0.73,0.8,3.24,0
0.73,0.8,3.36,0
0.73,0.8,3.24,0
0.73,0.8,3.23,0
0.73,0.8,3.23,0
0.73,0.73,3.31,0
0.73,0.73,3.23,0
0.73,0.73,3.33,0
0.73,0.73,3.26,0
0.73,0.73,3.26,0
0.73,0.73,3.26,0
0.73,0.73,3.26,0
0.73,0.73,3.19,0
0.73,0.73,3.24,0
0.67,0.73,3.29,0
0.67,0.73,3.21,0
0.73,0.73,3.2,0
0.73,0.73,3.24,0
0.73,0.73,3.24,0
0.67,0.73,3.07,0
0.67,0.73,3.24,0
0.67,0.73,3.22,0
0.67,0.67,3.25,0
0.67,0.67,3.24,0
0.67,0.67,3.24,0
0.67,0.67,3.26,0
0.67,0.67,3.27,0
0.67,0.67,3.24,0
0.6,0.67,3.24,0
0.6,0.67,3.24,0
0.6,0.67,3.25,0
0.6,0.67,3.25,0
0.6,0.67,3.09,0
0.6,0.67,3.1,0
0.6,0.67,3.26,0
0.6,0.67,3.19,0
0.6,0.67,3.24,0
0.6,0.67,3.24,0
0.6,0.67,3.22,0
0.6,0.67,3.24,0
0.6,0.6,3.14,0
0.6,0.6,3.24,0
0.6,0.6,3.26,0
0.53,0.6,3.24,0
0.53,0.6,3.24,0
0.53,0.6,3.3,0
0.6,0.6,3.26,0
0.6,0.6,3.29,0
0.6,0.6,3.29,0
0.53,0.6,3.21,0
0.53,0.6,3.43,0
0.53,0.6,3.24,0
0.47,0.6,3.22,0
0.47,0.6,3.21,0
0.47,0.6,3.22,0
0.53,0.6,3.27,0
0.53,0.6,3.24,0
0.53,0.6,3.24,0
0.47,0.53,3.15,0
0.47,0.53,3.23,0
0.47,0.53,3.24,0
0.47,0.53,3.23,0
0.47,0.53,3.24,0
0.47,0.53,3.22,0
0.53,0.6,3.24,0
0.53,0.6,3.24,0
0.53,0.6,3.24,0
0.4,0.53,3.24,0
0.4,0.53,3.26,0
0.4,0.53,3.31,0
0.47,0.47,3.21,0
0.47,0.47,3.26,0
0.47,0.47,3.19,0
0.4,0.53,3.26,0
0.4,0.53,3.11,0
0.4,0.53,3.14,0
0.47,0.47,3.5,0
0.47,0.47,3.04,0
0.47,0.47,3.24,0
0.4,0.53,3.22,0
0.4,0.53,3.18,0
0.4,0.53,3.25,0
0.33,0.47,3.06,0
0.33,0.47,3.3,0
0.33,0.47,3.21,0
0.33,0.47,3.24,0
0.33,0.47,3.24,0
0.33,0.47,3.24,0
0.2,0.4,3.1,0
0.2,0.4,3.27,0
0.2,0.4,3.21,0
0.13,0.4,3.58,0
0.13,0.4,3.24,0
0.13,0.4,3.28,0
0.07,0.47,3.19,0
0.07,0.47,3.36,0
0.07,0.47,3.24,0
0.13,0.33,3.26,0
0.13,0.33,3.24,0
0.13,0.33,3.23,0
0,0.33,3.24,0
0,0.33,3.25,0
0,0.33,3.19,0
0,0.27,3.41,0
0,0.27,3.01,0
0,0.27,3.24,0
0.13,0.07,3.42,0
0.13,0.07,3.19,0
0.07,0,3.22,0
0.07,0,3.23,0
0.07,0,3.24,0
0.13,0,3.18,0
0.13,0,3.15,0
0.13,0,3.1,0
0.13,0,3.18,0
0.13,0,3.23,0
0.13,0,3.23,0
0.07,0,3.23,0
0.07,0,3.24,0
0.07,0,3.24,0
0.07,0,3.13,0
0.07,0,3.24,0
0.07,0,3.24,0
0.07,0,3.23,0
0.07,0,3.14,0
0.07,0,3.22,0
0.07,0.07,2.86,0
0.07,0.07,3.22,0
0.07,0.07,3.06,0
0,0,3.1,0
0,0,3.02,0
0,0,3.07,0
0,0,3.12,0
0,0,3.26,0
0,0,3.04,0
0,0,3.24,0
0,0,3.19,0
0,0,3.14,0
0,0,3.13,0
0,0,3.25,0
0,0,3.1,0
0,0,3.02,0
0,0,3.07,0
0,0,3.12,0
0,0,3.26,0
0,0,3.04,0
0,0,3.24,0
0,0,3.19,0
0,0,3.14,0
0,0,3.13,0
0,0,3.25,0
0.33,0.47,3.06,0
0.33,0.47,3.3,0
0.33,0.47,3.21,0
0.33,0.47,3.24,0
0.33,0.47,3.24,0
0.33,0.47,3.24,0
